Name,Date,Payment
Beth Thompson,23.10.2012,5351
Ralph Knight,08.01.2012,311
Carl Jackson,25.01.2010,9063
Carl Jackson,25.01.2010,1584
Dorothy Badders,27.01.2011,284
Dorothy Badders,27.01.2011,5403
Dorothy Badders,27.01.2011,82
Delfina Latchford,27.08.2009,2066
Julia West,17.03.2011,4605
Julia West,17.03.2011,1754
Brad Eason,06.06.2012,426
Thomas Seio,11.04.2011,1837
Thomas Seio,11.04.2011,3722
Thomas Seio,11.04.2011,28
Monica Federle,06.11.2012,311
Monica Federle,06.11.2012,216
Michelle Lonsdale,16.05.2012,121
Frank Price,09.04.2012,300
Frank Price,09.04.2012,1365
Bryan Davis,05.08.2012,128
Don Jones,22.07.2009,253
Carlos Soltero,09.05.2010,51
Carlos Soltero,09.05.2010,5
Nicole Hansen,18.02.2009,10555
Nicole Hansen,18.02.2009,1750
Beth Thompson,27.06.2012,1944
Beth Thompson,27.06.2012,18
Beth Thompson,27.06.2012,6176
Nicole Hansen,30.09.2010,158
Carlos Soltero,15.04.2010,145
Carlos Soltero,15.04.2010,127
Dorothy Badders,14.09.2011,5472
Muhammed MacIntyre,21.09.2010,1811
Muhammed MacIntyre,17.08.2010,634
Don Miller,16.09.2009,644
Sylvia Foulston,22.06.2009,1212
Becky Castell,28.08.2012,3316
Dorothy Wardle,07.06.2011,207
Dorothy Wardle,07.06.2011,234
Dorothy Wardle,07.06.2011,1780
Ann Chong,09.10.2009,114
Ann Chong,09.10.2009,436
Ann Chong,09.10.2009,5247
Clay Rozendal,05.12.2010,173
Grant Carroll,07.06.2009,23793
Brendan Dodson,27.07.2009,256
Carlos Daly,05.09.2011,387
Alan Barnes,11.01.2009,1143
Alan Barnes,15.08.2010,42
Alan Barnes,15.08.2010,153
Nicole Hansen,05.08.2009,83
Cari Schnelling,17.09.2011,790
Chad Cunningham,22.10.2011,435
Bryan Mills,14.11.2009,474
Bryan Mills,14.11.2009,554
Adrian Hane,03.07.2010,55
Adrian Hane,03.07.2010,305
Rick Reed,30.01.2009,16067
Heather Kirkland,15.03.2012,619
Fred Wasserman,10.08.2009,1665
Becky Castell,01.04.2010,1050
Becky Castell,01.04.2010,817
Beth Thompson,31.07.2010,466
Claudia Miner,29.05.2009,242
Jack Lebron,11.10.2010,276
Alan Barnes,18.05.2010,31
Carlos Soltero,08.02.2011,122
Clay Rozendal,07.12.2010,108
Clay Rozendal,07.12.2010,78
Julia West,06.01.2009,26133
Alan Barnes,12.03.2012,2671
Joy Bell,26.08.2010,532
Joy Bell,26.08.2010,318
Joy Bell,26.08.2010,163
Jack Lebron,20.06.2011,103
Anthony Johnson,04.08.2010,17
Anthony Johnson,04.08.2010,2689
Anthony Johnson,04.08.2010,15
Eugene Barchas,23.11.2010,271
Eugene Barchas,23.11.2010,6584
Thomas Seio,02.08.2009,4866
Bryan Mills,10.08.2011,1003
Bryan Mills,10.08.2011,6048
Eugene Barchas,06.05.2010,3051
Sylvia Foulston,28.06.2012,9634
Sylvia Foulston,28.06.2012,3759
Carl Ludwig,23.03.2011,144
Julia West,19.11.2011,441
Don Jones,26.11.2012,4344
Mike Pelletier,29.07.2010,593
Mike Pelletier,29.07.2010,626
Eugene Barchas,12.05.2012,557
Ann Chong,03.03.2012,262
Ann Chong,03.03.2012,594
Charles McCrossin,20.08.2010,121
Annie Cyprus,27.06.2010,796
Annie Cyprus,27.06.2010,252
Carlos Soltero,29.10.2012,697
Doug Bickford,16.01.2010,4685
Carlos Daly,29.06.2012,906
Fred Wasserman,08.08.2011,270
Fred Wasserman,08.08.2011,660
Sylvia Foulston,21.02.2010,32
Michelle Lonsdale,20.06.2011,4689
Sylvia Foulston,04.09.2009,51
Sylvia Foulston,04.09.2009,90
Sylvia Foulston,04.09.2009,339
Sylvia Foulston,04.09.2009,6110
Charlotte Melton,21.06.2009,34
Barry French,08.02.2012,538
Heather Kirkland,11.03.2009,1064
Heather Kirkland,11.03.2009,3497
Heather Kirkland,11.03.2009,774
Henry Goldwyn,04.06.2011,74
Frank Price,02.03.2012,5754
Jim Radford,12.08.2011,18235
Jim Radford,12.08.2011,2631
Ralph Knight,01.09.2009,209
Delfina Latchford,26.01.2010,324
Delfina Latchford,26.01.2010,137
Roy Skaria,02.09.2011,233
Roy Skaria,02.09.2011,4806
Monica Federle,07.02.2012,62
Monica Federle,07.02.2012,59
Charles McCrossin,19.03.2011,158
Don Miller,08.05.2011,376
Jeremy Lonsdale,25.09.2009,1601
Jeremy Lonsdale,25.09.2009,501
Grant Carroll,09.07.2012,25
Carl Ludwig,14.01.2010,167
Carlos Daly,26.08.2009,811
Ralph Knight,08.10.2009,823
Cindy Schnelling,10.11.2011,3311
Claudia Miner,15.04.2012,55
Roy Skaria,02.01.2012,193
Delfina Latchford,08.03.2011,292
Edward Hooks,02.07.2009,281
Edward Hooks,02.07.2009,12594
Don Miller,15.04.2011,6124
Grant Carroll,25.11.2011,19325
Grant Carroll,25.11.2011,8380
Brad Eason,25.04.2012,35
Charles McCrossin,26.03.2011,17388
Charles McCrossin,26.03.2011,6040
Charles McCrossin,14.07.2010,692
Charles McCrossin,14.07.2010,345
Bryan Mills,23.10.2010,1955
Monica Federle,24.08.2009,218
Michelle Lonsdale,09.06.2011,255
Michelle Lonsdale,23.11.2012,6807
Michelle Lonsdale,23.11.2012,892
Michelle Lonsdale,23.11.2012,165
Beth Thompson,01.05.2009,789
Cindy Schnelling,11.05.2012,98
Cindy Schnelling,11.05.2012,110
Nicole Hansen,15.10.2010,322
Nicole Hansen,15.10.2010,972
Nicole Hansen,15.10.2010,2149
Cari Schnelling,23.07.2011,3671
Cari Schnelling,23.07.2011,1764
Roy Skaria,11.07.2011,403
Susan Vittorini,16.09.2012,90
Susan Vittorini,16.09.2012,457
Sylvia Foulston,16.01.2009,249
Sylvia Foulston,16.01.2009,78
Chad Cunningham,20.10.2010,41
Chad Cunningham,20.10.2010,113
Carlos Daly,30.08.2010,1219
Carlos Daly,30.08.2010,29
Grant Carroll,07.05.2010,3549
Julia West,21.06.2011,179
Roy Skaria,24.11.2010,6046
Cindy Schnelling,27.04.2012,57
Don Jones,28.08.2012,1351
Beth Thompson,31.07.2011,100
Beth Thompson,31.07.2011,327
Alan Barnes,06.10.2012,31
Alan Barnes,06.10.2012,128
Carl Ludwig,06.02.2010,242
Carl Ludwig,06.02.2010,802
Carl Ludwig,06.02.2010,64
Jamie Kunitz,17.10.2011,372
Heather Kirkland,20.08.2009,349
Heather Kirkland,20.08.2009,58
Heather Kirkland,20.08.2009,10377
Doug Bickford,14.06.2010,141
Doug Bickford,14.06.2010,43
Doug Bickford,14.06.2010,227
Doug Bickford,14.06.2010,439
Carlos Daly,27.02.2010,15252
Toby Braunhardt,15.08.2009,34
Toby Braunhardt,15.08.2009,173
Toby Braunhardt,15.08.2009,853
Cari Schnelling,14.05.2011,36
Thomas Seio,07.10.2010,200
Thomas Seio,07.10.2010,1888
Thomas Seio,07.10.2010,323
Brendan Dodson,23.10.2009,22
Brendan Dodson,23.10.2009,12616
Charlotte Melton,09.06.2010,148
Beth Thompson,10.01.2011,217
Beth Thompson,10.01.2011,5994
Eugene Barchas,30.01.2009,362
Michelle Lonsdale,28.03.2011,1039
Michelle Lonsdale,28.03.2011,564
Grant Carroll,22.11.2010,827
Beth Paige,30.05.2011,999
Dorothy Wardle,13.05.2012,2298
Muhammed MacIntyre,08.06.2010,1168
Charlotte Melton,29.11.2009,182
Muhammed MacIntyre,01.09.2012,1184
Claudia Miner,26.02.2010,72
Claudia Miner,26.02.2010,551
Claudia Miner,26.02.2010,1373
Brendan Dodson,21.05.2012,368
Dorothy Wardle,08.11.2009,224
Mike Pelletier,27.08.2010,105
Edward Hooks,17.08.2012,256
Edward Hooks,17.08.2012,6068
Jamie Kunitz,09.11.2012,2755
Jamie Kunitz,09.11.2012,19418
Julia West,02.06.2011,4842
Jeremy Lonsdale,10.08.2011,616
Jeremy Lonsdale,10.08.2011,8387
Jeremy Lonsdale,10.08.2011,126
Jeremy Lonsdale,10.08.2011,68
Cindy Schnelling,27.02.2009,71
Heather Kirkland,07.06.2010,568
Alan Barnes,17.02.2012,2157
Hunter Glantz,23.02.2012,1363
Hunter Glantz,23.02.2012,4699
Hunter Glantz,23.02.2012,347
Julia West,15.10.2009,1404
Carlos Daly,13.03.2009,18
Barry French,12.03.2010,4274
Susan Vittorini,07.07.2009,192
Carl Jackson,21.11.2012,484
Carl Jackson,21.11.2012,308
Carl Jackson,21.11.2012,1911
Alan Barnes,02.03.2009,862
Charlotte Melton,22.09.2011,120
Beth Thompson,21.07.2011,19
Bryan Mills,13.07.2009,237
Alan Barnes,29.03.2010,325
Alan Barnes,29.03.2010,8902
Beth Paige,06.02.2010,1063
Mike Pelletier,12.09.2012,7469
Delfina Latchford,22.12.2010,710
Susan Vittorini,30.05.2009,3511
Dorothy Wardle,21.12.2012,282
Dorothy Wardle,21.12.2012,510
Dorothy Wardle,21.12.2012,97
Susan Vittorini,14.02.2012,225
Jamie Kunitz,03.07.2010,205
Fred Wasserman,16.05.2011,1368
Doug Bickford,07.03.2010,2476
Fred Wasserman,27.04.2009,2206
Susan Vittorini,07.04.2012,524
Doug Bickford,31.12.2010,6553
Claudia Miner,02.02.2010,497
Claudia Miner,02.02.2010,917
Frank Price,15.04.2012,111
Frank Price,15.04.2012,1163
Dorothy Wardle,19.05.2010,225
Dorothy Wardle,19.05.2010,366
Dorothy Wardle,19.05.2010,16073
Allen Rosenblatt,27.07.2009,31
Dorothy Wardle,31.03.2009,54
Julia West,11.06.2012,900
Ralph Knight,01.09.2010,6790
Michelle Lonsdale,09.08.2012,748
Charlotte Melton,07.05.2010,2522
Charlotte Melton,07.05.2010,4182
Allen Rosenblatt,25.08.2011,681
Neola Schneider,21.09.2010,760
Neola Schneider,21.09.2010,147
Joy Bell,30.06.2012,294
Monica Federle,17.01.2011,216
Jamie Kunitz,10.10.2010,32
Susan Vittorini,09.06.2011,154
Susan Vittorini,09.06.2011,110
Susan Vittorini,09.06.2011,138
Charles McCrossin,26.06.2012,302
Cari Schnelling,16.03.2010,400
Doug Bickford,13.11.2010,52
Don Miller,14.11.2009,61
Don Miller,14.11.2009,778
Fred Wasserman,12.09.2011,109
Bryan Mills,23.11.2009,10052
Carlos Daly,10.07.2010,97
Joy Bell,06.03.2009,1524
Claudia Miner,17.02.2011,756
Claudia Miner,17.02.2011,18
Beth Thompson,19.11.2011,1324
Allen Rosenblatt,03.06.2011,47
Beth Thompson,25.05.2010,51
Beth Thompson,25.05.2010,2196
Susan Vittorini,30.05.2009,3482
Sylvia Foulston,30.08.2012,683
Joy Bell,16.12.2011,600
Becky Castell,09.12.2009,64
Carlos Daly,03.07.2012,8552
Cari Schnelling,24.12.2010,292
Jim Radford,17.05.2011,503
Allen Rosenblatt,11.01.2012,172
Dorothy Badders,03.10.2011,1326
Dorothy Badders,03.10.2011,3882
Mike Pelletier,05.03.2010,18
Mike Pelletier,05.03.2010,137
Doug Bickford,05.11.2011,617
Doug Bickford,05.11.2011,13105
Susan Vittorini,05.01.2009,701
Andrew Gjertsen,25.11.2010,668
Muhammed MacIntyre,08.04.2011,701
Muhammed MacIntyre,08.04.2011,54
Muhammed MacIntyre,08.04.2011,47
Muhammed MacIntyre,08.04.2011,78
Jim Radford,31.03.2010,5736
Bryan Davis,10.03.2012,187
Anthony Johnson,20.02.2009,241
Anthony Johnson,20.02.2009,492
Doug Bickford,01.10.2009,624
Carlos Daly,01.11.2012,4264
Don Miller,21.07.2011,2700
Don Jones,23.11.2010,1583
Chad Cunningham,06.02.2010,757
Ralph Arnett,04.01.2011,207
Ralph Arnett,04.01.2011,88
Nicole Hansen,02.08.2009,197
Fred Wasserman,05.06.2010,471
Bryan Mills,02.08.2009,369
Ralph Arnett,28.12.2010,2232
Doug Bickford,10.10.2012,387
Eugene Barchas,02.04.2011,169
Brad Eason,25.11.2009,414
Brad Eason,25.11.2009,178
Dorothy Wardle,11.04.2012,2729
Ralph Knight,16.02.2010,736
Sylvia Foulston,24.09.2010,1060
Neola Schneider,21.02.2009,199
Neola Schneider,21.02.2009,2770
Grant Carroll,11.11.2012,1882
Grant Carroll,11.11.2012,187
Grant Carroll,11.11.2012,407
Julia West,27.10.2011,209
Muhammed MacIntyre,16.12.2009,778
Susan Vittorini,07.05.2010,60
Sylvia Foulston,08.01.2011,1936
Doug Bickford,09.07.2012,14
Doug Bickford,09.07.2012,272
Doug Bickford,09.07.2012,325
Dorothy Badders,09.03.2009,844
Henry Goldwyn,30.12.2011,6641
Henry Goldwyn,30.12.2011,10469
Henry Goldwyn,30.12.2011,836
Grant Carroll,29.03.2009,216
Chad Cunningham,13.02.2011,140
Beth Thompson,28.01.2011,267
Beth Thompson,28.01.2011,114
Andrew Gjertsen,08.09.2012,84
Andrew Gjertsen,08.09.2012,219
Sylvia Foulston,18.05.2009,9503
Michelle Lonsdale,29.07.2012,5686
Michelle Lonsdale,29.07.2012,797
Cari Schnelling,22.04.2012,963
Henry Goldwyn,16.07.2012,95
Edward Hooks,22.09.2012,712
Brendan Dodson,20.05.2010,283
Brendan Dodson,20.05.2010,46
Harold Engle,02.12.2009,558
Roy French,01.06.2010,4262
Helen Abelman,25.09.2010,2071
Guy Armstrong,19.11.2012,223
Jennifer Braxton,14.12.2010,1635
Giulietta Baptist,25.10.2012,204
Jack Lebron,17.06.2010,1038
Jack Lebron,17.06.2010,306
Erica Bern,29.06.2012,7441
Erica Bern,01.02.2009,55
Helen Abelman,25.08.2011,4897
Guy Armstrong,20.06.2009,434
Helen Abelman,03.05.2010,717
Christopher Schild,07.04.2009,1423
Roy French,02.09.2011,933
Roy French,14.04.2011,5978
Jennifer Braxton,13.02.2011,906
Jennifer Braxton,13.02.2011,171
Joy Smith,30.07.2011,435
Evan Minnotte,10.08.2010,871
Evan Minnotte,10.08.2010,538
Jenna Caffey,06.04.2009,608
Harold Engle,26.10.2010,286
Harold Engle,26.10.2010,12450
Harold Engle,26.05.2012,2083
Harold Engle,26.05.2012,233
Harold Engle,26.05.2012,47
Hilary Holden,10.09.2012,3246
Hilary Holden,10.09.2012,63
Hilary Holden,10.09.2012,6421
Hilary Holden,10.09.2012,2408
Christopher Schild,16.03.2011,109
Harold Engle,18.06.2011,283
Greg Guthrie,11.01.2011,17
Greg Guthrie,11.01.2011,67
Greg Guthrie,11.01.2011,131
Greg Guthrie,11.01.2011,78
Guy Armstrong,05.03.2009,440
Guy Armstrong,05.03.2009,97
Joy Smith,14.12.2009,590
Joy Smith,14.12.2009,216
Erica Bern,02.02.2009,3153
Erica Bern,02.02.2009,3610
Dan Reichenbach,26.08.2009,188
Erica Bern,06.03.2012,1682
Guy Armstrong,19.11.2009,5204
Guy Armstrong,19.11.2009,744
Evan Minnotte,24.07.2010,293
Joy Smith,04.08.2010,51
Joy Smith,04.08.2010,793
Joy Smith,04.08.2010,782
Paul Gonzalez,07.03.2011,226
Filia McAdams,20.10.2011,1857
Joy Smith,04.08.2009,241
Greg Guthrie,28.04.2010,4178
Greg Guthrie,28.04.2010,3351
Joy Smith,22.04.2009,159
Joy Smith,04.12.2011,1128
Greg Guthrie,06.08.2010,9294
Greg Guthrie,06.08.2010,81
Jack Lebron,15.09.2011,925
Joy Smith,02.10.2009,566
Evan Minnotte,01.03.2009,328
Chuck Magee,24.06.2009,178
Chuck Magee,24.06.2009,115
Filia McAdams,16.01.2011,182
Jack Lebron,20.01.2012,952
Jack Lebron,20.01.2012,172
Jack Lebron,21.05.2010,2544
Harold Engle,15.03.2012,318
Harold Engle,15.03.2012,435
Jack Lebron,07.08.2011,937
Jack Lebron,07.08.2011,1617
Frank Atkinson,21.05.2011,404
Frank Atkinson,21.05.2011,11675
Jack Lebron,11.10.2010,1483
Jack Lebron,11.10.2010,6693
Evan Minnotte,22.12.2010,309
Joy Smith,03.07.2009,445
Dan Reichenbach,27.05.2009,742
Jack Lebron,20.06.2011,896
Frank Atkinson,22.08.2012,121
Frank Atkinson,22.08.2012,2641
Erica Bern,26.01.2011,8662
Jack Lebron,03.12.2012,1690
Filia McAdams,06.09.2010,112
Jack Lebron,29.03.2011,2528
Jack Lebron,29.03.2011,1146
Giulietta Baptist,20.08.2010,103
Joy Smith,02.12.2010,7783
Joy Smith,02.12.2010,62
Joy Smith,02.12.2010,1280
Greg Guthrie,26.03.2011,77
Carlos Soltero,19.12.2009,1483
Carlos Soltero,19.12.2009,146
Harold Engle,29.04.2011,500
Erica Bern,24.10.2010,8221
Erica Bern,24.10.2010,1158
Hilary Holden,12.05.2010,299
Hilary Holden,12.05.2010,667
Jack Lebron,11.04.2010,3207
Filia McAdams,24.01.2009,6654
Filia McAdams,24.01.2009,4430
Greg Guthrie,17.11.2010,239
Greg Guthrie,17.11.2010,685
Harold Engle,29.09.2010,2531
Philip Brown,03.08.2010,22
Helen Abelman,13.06.2011,7765
Hilary Holden,05.05.2010,2435
Hilary Holden,05.05.2010,4243
Christopher Schild,30.08.2010,14
Carlos Soltero,30.10.2012,92
Carlos Soltero,30.10.2012,200
Erica Bern,15.07.2009,197
Erica Bern,15.07.2009,3673
Erica Bern,15.07.2009,47
Erica Bern,07.08.2012,20334
Joy Smith,01.02.2009,1697
Joy Smith,07.07.2012,572
Christopher Schild,27.03.2009,322
Christopher Schild,27.03.2009,2471
Christopher Schild,27.03.2009,15
Christopher Schild,27.03.2009,5251
Evan Minnotte,23.09.2010,10791
Christopher Schild,28.03.2011,27
Greg Guthrie,01.07.2009,123
Harold Engle,11.12.2010,589
Philip Brown,16.09.2009,284
Carlos Soltero,04.02.2011,166
Jennifer Braxton,11.09.2010,2047
Dan Reichenbach,02.03.2010,29
Dan Reichenbach,02.03.2010,1446
Dan Reichenbach,02.03.2010,119
Carlos Soltero,15.09.2009,35
Carlos Soltero,30.12.2010,1273
Carlos Soltero,30.12.2010,165
Giulietta Baptist,25.07.2011,883
Jack Lebron,23.12.2009,23256
Guy Armstrong,31.10.2012,23
Hilary Holden,22.12.2009,639
Jack Lebron,14.04.2012,62
Erica Bern,13.05.2011,153
Erica Bern,13.05.2011,153
Harold Engle,07.12.2011,7609
Harold Engle,07.12.2011,1270
Jim Sink,04.12.2010,101
Jennifer Braxton,24.11.2009,394
Jennifer Braxton,24.11.2009,551
Jennifer Braxton,24.11.2009,19
Joy Smith,13.09.2011,294
Joy Smith,13.09.2011,2023
Harold Engle,03.12.2010,2290
Philip Brown,18.12.2011,1774
Philip Brown,18.12.2011,543
Philip Brown,18.12.2011,814
Giulietta Baptist,09.08.2012,865
Giulietta Baptist,09.08.2012,429
Paul Gonzalez,24.08.2010,342
Logan Haushalter,22.05.2011,648
Logan Haushalter,22.05.2011,410
Filia McAdams,18.11.2012,9751
Carlos Soltero,28.06.2012,836
Carlos Soltero,28.06.2012,1800
Erica Bern,04.02.2009,1442
Erica Bern,04.02.2009,173
Greg Guthrie,25.12.2009,5016
Dan Reichenbach,26.09.2011,945
Jim Sink,22.09.2011,326
Jim Sink,22.09.2011,136
Carlos Soltero,15.02.2009,93
Carlos Soltero,15.02.2009,154
Carlos Soltero,15.02.2009,18824
Chuck Magee,11.10.2009,34
Philip Brown,10.03.2011,176
Hilary Holden,11.08.2012,66
Hilary Holden,11.08.2012,2674
Hilary Holden,11.08.2012,5514
Hilary Holden,11.08.2012,241
Greg Guthrie,25.12.2009,365
Jennifer Braxton,29.06.2012,3230
Jennifer Braxton,29.06.2012,4011
Erica Bern,18.01.2009,672
Jim Sink,20.05.2012,8223
Noah Childs,19.03.2009,260
Noah Childs,19.03.2009,2504
Noah Childs,19.03.2009,375
Evan Minnotte,05.09.2009,5155
Guy Armstrong,03.11.2009,539
Guy Armstrong,26.03.2011,3780
Guy Armstrong,26.03.2011,1962
Chuck Magee,10.02.2012,639
Greg Guthrie,06.05.2009,1600
Greg Guthrie,06.05.2009,942
Carlos Soltero,23.11.2010,1290
Greg Guthrie,10.02.2011,859
Greg Guthrie,29.03.2010,245
Greg Guthrie,29.03.2010,4178
Carlos Soltero,05.09.2012,63
Carlos Soltero,05.09.2012,1437
Greg Guthrie,31.01.2011,848
Greg Guthrie,31.01.2011,717
Christopher Schild,07.08.2009,643
Joy Smith,05.05.2012,3114
Joy Smith,05.05.2012,8162
Joy Smith,05.05.2012,1315
Joy Smith,05.05.2012,4479
Joy Smith,10.11.2009,1072
Joy Smith,10.11.2009,343
Joy Smith,10.11.2009,62
Guy Armstrong,14.06.2010,1966
Brian Moss,07.01.2012,114
Brian Moss,07.01.2012,197
Logan Haushalter,19.12.2010,654
Guy Armstrong,29.11.2012,2039
Guy Armstrong,29.11.2012,225
Guy Armstrong,29.11.2012,784
Christopher Schild,18.04.2009,4711
Jim Sink,24.09.2009,1133
Carlos Soltero,11.03.2011,1648
Jennifer Braxton,13.12.2010,50
Brian Moss,21.01.2012,1494
Harold Engle,06.01.2012,1483
Harold Engle,06.01.2012,14729
Carlos Soltero,10.12.2009,258
Hilary Holden,12.02.2010,4621
Hilary Holden,12.02.2010,460
Logan Haushalter,26.06.2009,155
Guy Armstrong,08.02.2011,343
Erica Bern,20.02.2011,135
Logan Haushalter,10.09.2012,3513
Logan Haushalter,10.09.2012,282
Harold Engle,12.02.2010,5186
Christopher Schild,01.02.2010,984
Helen Abelman,26.09.2011,410
Helen Abelman,26.09.2011,136
Jack Lebron,12.08.2010,590
Jack Lebron,20.08.2010,337
Jack Lebron,20.08.2010,397
Giulietta Baptist,17.05.2012,2094
Giulietta Baptist,17.05.2012,1714
Jim Sink,09.07.2010,224
Julie Creighton,22.10.2011,289
Julie Creighton,22.10.2011,1893
Sanjit Chand,15.07.2010,6375
Matt Collins,04.03.2011,1001
Matt Collins,04.03.2011,544
Matt Collins,05.01.2009,166
Matt Collins,05.01.2009,2021
Justin Knight,12.05.2009,43
Rob Haberlin,22.02.2010,4577
Rob Haberlin,22.02.2010,846
Rob Haberlin,23.06.2011,1082
Rob Haberlin,20.03.2009,23
Rob Haberlin,22.01.2011,2154
Christina Vanderzanden,28.07.2011,1700
Christina Vanderzanden,28.07.2011,761
Matt Collins,03.04.2010,1042
Matt Collins,03.04.2010,5011
Sanjit Chand,21.11.2010,19110
Matt Collins,11.09.2010,409
Justin Knight,31.08.2011,3398
Justin Knight,31.08.2011,449
Rob Haberlin,07.06.2009,60
Lena Cacioppo,22.03.2009,643
Lena Cacioppo,22.03.2009,47
Kimberly Carter,30.09.2010,6900
Gene Hale,15.09.2010,1449
Christina Vanderzanden,10.01.2010,162
Matt Collins,26.06.2010,385
Sally Knutson,23.07.2011,84
Kimberly Carter,10.10.2010,320
Christina Vanderzanden,05.02.2009,140
Christina Vanderzanden,05.02.2009,927
Kimberly Carter,09.11.2011,27
Kimberly Carter,09.11.2011,684
Rob Haberlin,26.07.2009,100
Rob Haberlin,26.07.2009,8102
Rob Haberlin,26.07.2009,1314
Justin Knight,18.04.2009,1350
Justin Knight,18.04.2009,861
Justin Knight,18.04.2009,1531
Christina Vanderzanden,24.02.2012,57
Marina Lichtenstein,28.07.2012,247
Marina Lichtenstein,28.07.2012,1542
Justin Knight,14.12.2011,19
Justin Knight,14.12.2011,8290
